pls,please
gotta,got to
plz,please
yall,you
y'all,you
shod,should
shld,should
shud,should
dey,they
the,they
shoulda,should have
plzz,please
u,you
bout,about
wouldve,would've
shouldve,should've
couldve,could've
theyve,they’ve
plss,please
dis,this
pleaseeeee,please
tmw,tomorrow
gotton,got on
plez,please
hapen,happen
til,ppl
btw,by the way
wanna,want to
ftw,for the future
noww,now
imo,in my opinion
dum,dumb
dont,don’t
iv,I've
messin,messing
idek,I don't know
idk,I don't know
pls,please
wtf,what the fuck
b4,before
coulda,could have
woulda,would have
plzz,please
dawg,dog
tho,though
brb,be right back
Pleeeeaaase,please
plsno,please no
thx,thanks
